User,Message,Sentiment
Mathivanan Sir CCTS SRM VDP,"Dear Students, for Critical and Creative Thinking Skills CT - II online test url is empower.srmist.edu.in
User name - your Reg.no
Password - your mobile no
Check it out now, if any login issues pls contect me..
",joy
MANOHAR Sir SRM VDP,"@919677018701 kindly  send  me the afternoon session attendance.
",joy
MANOHAR Sir SRM VDP,"Any faculty have the II CSE A afternoon attendance, kindly  update.  Thanks
",joy
Cse B Durgadevi Ma'am,"*Special class starts from tomorrow (3.6.2022)* *Attendance is mandatory*
",joy
A Durgadevi Maam SRM VDP,"Reminder for special class Today u have OS special class.Attendance is mandatory .Assemble in  BW104 sharply @2.45 PM
",love
Niveditha Ma'am APP SRM Vdp,"Good evening students.. As planned we will have ct2 lab tests this week
",joy
A Durgadevi Maam SRM VDP,"Details of Test: 
Test Link: https://bit.ly/vdp1-june22
Password: ccc (All C's in Small Case)
Date: 09 Jun 2022
Test Duration: 120 minutes
Note: Once the student starts the exam, He/She will have 120 Minutes to complete the exam.
Plagiarism is strictly monitored and exam can be taken only on Desktop/Laptops
",joy
MANOHAR Sir SRM VDP,"Good morning All..
",joy
Punita Ma'am DAA SRM,"Good morning all.. Gmeet link for today DAA special class will be sent by 10.45 AM
",joy
MANOHAR Sir SRM VDP,"Today's Computer Communication - Special Class (9.00 am to 10.40 a.m ) II- CSE 'A' - Absentees: 14, 20, 22, 33, 37, 80, 97, and 107..
",love
A Durgadevi Maam SRM VDP,"Dear students
Kindly join os class by 1 PM
",joy
Preetha Ma'am SEPM SRM VDP,"SEPM Special Class Meet Link: 

meet.google.com/btz-rkpb-ziy
",joy
Preetha Ma'am SEPM SRM VDP,"Absentees for SEPM Special Class : 
20 , 27 , 37 , 44 , 80, 97, 100
",joy
MANOHAR Sir SRM VDP,"Good morning all.
",joy
A Durgadevi Maam SRM VDP,"Exit test started ... total duration is 210 mins 



Students....take up this test, this score will be considered as internals for CPS
",joy
Preetha Ma'am SEPM SRM VDP,"Kindly bring adequate A4 sheets and your own stationeries (UML Diagram has to be drawn). Thx
",joy
Niveditha Ma'am APP SRM Vdp,"Dear students kindly bring 2 sheets for exam..
",joy
Ateeq Rahman SRM Classmate,"Special class venue: bw105
",joy
A Durgadevi Maam SRM VDP,"As per the request made by students submission of assessment date is extended upto Wednesday 29/6/2022.. students are asked to complete it by then...no more extension is possible
",love
A Durgadevi Maam SRM VDP,"CT III Lab Venue for Online exams. I & II Year Class incharges kindly share the same with students.
",joy
MANOHAR Sir SRM VDP,"Good  morning  all. Still now - CC observation  not completed (not even submitted) students  list : 02,14,20,62,80,87,106,107.
",love
MANOHAR Sir SRM VDP,"Good  morning  all. Still now - CC observation  not completed (not even submitted) students  list : 02,14, 62,80,87,106,107.
",love
